id,country_id,region_id,city,latitude,longitude,time_zone
3673,91,1912,Friedrichshafen,47.65,9.48,+01:00
3674,91,1912,Friolzheim,48.83,8.83,+01:00
3675,91,1913,Fussen,47.56,10.7,+01:00
3676,91,1917,Garbsen,52.41,9.6,+01:00
3679,91,1912,Gedern,51.41,7.35,+01:00
3680,91,1926,Gera,50.86,12.08,+01:00
3682,91,1921,Gluckstadt,53.78,9.41,+01:00
3683,91,1926,Gotha,51.41,12.6,+01:00
3684,91,1912,Gottelfingen,48.5,8.75,+01:00
3685,91,1923,Greifswald,54.1,13.38,+01:00
3686,91,1919,Grunstadt,49.56,8.16,+01:00
3687,91,1913,Gunzenhausen,49.1,10.75,+01:00
3688,91,1915,Hamburg,53.55,10,+01:00
3689,91,1918,Hamm,51.25,6.41,+01:00
3690,91,1917,Helmstedt,52.23,11,+01:00
3691,91,1918,Herford,52.13,8.68,+01:00
3692,91,1913,Hof,50.23,11.2,+01:00
3695,91,1919,Kaiserslautern,49.45,7.75,+01:00
3696,91,1918,Kleve,51.78,6.15,+01:00
3697,91,1919,Koblenz,50.35,7.6,+01:00
3698,91,1927,Koenigs Wusterhausen,49.15,10.53,+01:00
3699,91,1918,Krefeld,51.33,6.56,+01:00
3700,91,1913,Kubelstein Stadt Schesslitz,49.98,11.13,+01:00
3701,91,1919,Kusel,49.55,7.4,+01:00
3702,91,1912,Leinfelden-Echterdingen,48.7,9.15,+01:00
3703,91,1924,Leipzig,51.3,12.33,+01:00
3704,91,1918,Lengerich,52.18,7.86,+01:00
3705,91,1912,Leonberg,49.95,12.28,+01:00
3706,91,1913,Lichtenfels,50.15,11.06,+01:00
3707,91,1919,Linz Am Rhein,50.56,7.28,+01:00
3708,91,1921,Lubeck,53.86,10.7,+01:00
3709,91,1918,Ludinghausen,51.76,7.46,+01:00
3710,91,1919,Ludwigshafen Am Rhein,49.47,8.44,+01:00
3711,91,1925,Lutherstadt Wittenberg,51.86,12.65,+01:00
3712,91,1919,Mainz,49.99,8.27,+01:00
3713,91,1912,Malsch,48.88,8.33,+01:00
3714,91,1912,Mannheim,49.48,8.46,+01:00
3715,91,1912,Marbach Am Neckar,48.93,9.25,+01:00
3717,91,1918,Marl,51.65,7.08,+01:00
3718,91,1916,Melsungen,51.13,9.55,+01:00
3719,91,1913,Memmingen,47.98,10.16,+01:00
3720,91,1912,Me·stetten,48.17,8.95,+01:00
3721,91,1919,Morzheim,49.16,8.07,+01:00
3722,91,1913,Munich,48.15,11.58,+01:00
3723,91,1918,Munster,51.96,7.63,+01:00
3725,91,1913,Neu Ulm,48.4,10.01,+01:00
3727,91,1913,Neustadt An Der Waldnaab,49.73,12.16,+01:00
3728,91,1917,Nienburg,52.63,9.21,+01:00
3729,91,1912,Ofterdingen,48.41,9.03,+01:00
3730,91,1917,Osnabruck,52.26,8.05,+01:00
3731,91,1918,Paderborn,51.71,8.76,+01:00
3732,91,1913,Passau,48.58,13.48,+01:00
3733,91,1912,Pfaffenweiler,47.78,9.86,+01:00
3734,91,1921,Pinneberg,53.65,9.8,+01:00
3735,91,1918,Porta Westfalica,52.21,8.93,+01:00
3736,91,1922,Potsdam,52.4,13.06,+01:00
3737,91,1912,Rastatt,48.85,8.2,+01:00
3738,91,1918,Ratingen,51.3,6.85,+01:00
3739,91,1913,Regensburg,49.01,12.1,+01:00
3740,91,1922,Rheinsberg,53.1,12.88,+01:00
3741,91,1914,Rodental,50.28,11.06,+01:00
3742,91,1920,Saarbrucken,49.23,7,+01:00
3743,91,1919,Schaumburg,50.33,7.98,+01:00
3744,91,1919,Schifferstadt,49.38,8.37,+01:00
3745,91,1917,Schledehausen,52.28,8.25,+01:00
3746,91,1912,Schwabisch Gmund,48.8,9.78,+01:00
3747,91,1923,Schwerin,53.63,11.38,+01:00
3748,91,1912,Schwieberdingen,48.88,9.06,+01:00
3749,91,1917,Seevetal,53.4,9.96,+01:00
3750,91,1917,Soltau,52.98,9.83,+01:00
3752,91,1917,Stade,53.6,9.48,+01:00
3753,91,1912,Stuttgart,48.76,9.18,+01:00
3754,91,1912,Sulzfeld,49.1,8.85,+01:00
3755,91,1913,Tirschenreuth,49.88,12.35,+01:00
3756,91,1919,Trier,49.75,6.63,+01:00
3757,91,1912,Trossingen,48.06,8.65,+01:00
3758,91,1912,Tubingen,48.53,9.05,+01:00
3759,91,1912,Ulm,48.73,8.01,+01:00
3761,91,1912,Walldorf,49.3,8.64,+01:00
3762,91,1913,WASSERBURG,48.43,10.26,+01:00
3763,91,1926,Weimar,51.36,9.4,+01:00
3764,91,1918,Wesel,51.66,6.61,+01:00
3765,91,1912,Wiernsheim,48.88,8.85,+01:00
3766,91,1912,Wiesloch,49.29,8.7,+01:00
